"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:09:33 GMT 2020","Sun Oct 11 14:09:33 GMT 2020","431","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:09:34 GMT 2020","Sun Oct 11 14:09:35 GMT 2020","404","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:09:37 GMT 2020","Sun Oct 11 14:09:38 GMT 2020","938","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:09:34 GMT 2020","Sun Oct 11 14:09:34 GMT 2020","285","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:09:33 GMT 2020","Sun Oct 11 14:09:34 GMT 2020","292","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:09:26 GMT 2020","Sun Oct 11 14:09:33 GMT 2020","7420","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:09:35 GMT 2020","Sun Oct 11 14:09:36 GMT 2020","641","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:09:35 GMT 2020","Sun Oct 11 14:09:35 GMT 2020","332","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:09:37 GMT 2020","Sun Oct 11 14:09:37 GMT 2020","366","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:09:34 GMT 2020","Sun Oct 11 14:09:34 GMT 2020","311","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:09:35 GMT 2020","Sun Oct 11 14:09:35 GMT 2020","448","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:09:36 GMT 2020","Sun Oct 11 14:09:37 GMT 2020","690","","","","","","Calculating total in trade form -- @1.5 ",""
