"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:52:15 GMT 2020","Sun Oct 11 14:52:15 GMT 2020","378","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:52:05 GMT 2020","Sun Oct 11 14:52:15 GMT 2020","9753","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:52:16 GMT 2020","Sun Oct 11 14:52:17 GMT 2020","405","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:52:19 GMT 2020","Sun Oct 11 14:52:20 GMT 2020","600","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:52:19 GMT 2020","Sun Oct 11 14:52:19 GMT 2020","499","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:52:20 GMT 2020","Sun Oct 11 14:52:21 GMT 2020","937","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:52:17 GMT 2020","Sun Oct 11 14:52:18 GMT 2020","510","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:52:17 GMT 2020","Sun Oct 11 14:52:17 GMT 2020","474","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:52:17 GMT 2020","Sun Oct 11 14:52:17 GMT 2020","410","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:52:15 GMT 2020","Sun Oct 11 14:52:16 GMT 2020","466","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:52:18 GMT 2020","Sun Oct 11 14:52:19 GMT 2020","599","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:52:16 GMT 2020","Sun Oct 11 14:52:16 GMT 2020","365","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
