"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:42:33 GMT 2020","Sun Oct 11 14:42:33 GMT 2020","413","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:42:33 GMT 2020","Sun Oct 11 14:42:34 GMT 2020","377","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:42:30 GMT 2020","Sun Oct 11 14:42:30 GMT 2020","509","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:42:30 GMT 2020","Sun Oct 11 14:42:31 GMT 2020","326","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:42:22 GMT 2020","Sun Oct 11 14:42:30 GMT 2020","8138","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:42:35 GMT 2020","Sun Oct 11 14:42:36 GMT 2020","1280","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:42:34 GMT 2020","Sun Oct 11 14:42:34 GMT 2020","370","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:42:31 GMT 2020","Sun Oct 11 14:42:32 GMT 2020","442","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:42:32 GMT 2020","Sun Oct 11 14:42:32 GMT 2020","861","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:42:34 GMT 2020","Sun Oct 11 14:42:34 GMT 2020","335","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:42:32 GMT 2020","Sun Oct 11 14:42:33 GMT 2020","500","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:42:31 GMT 2020","Sun Oct 11 14:42:31 GMT 2020","371","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
