"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:41:04 GMT 2020","Sun Oct 11 14:41:05 GMT 2020","1014","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:41:00 GMT 2020","Sun Oct 11 14:41:01 GMT 2020","420","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:41:03 GMT 2020","Sun Oct 11 14:41:04 GMT 2020","650","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:40:59 GMT 2020","Sun Oct 11 14:41:00 GMT 2020","346","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:41:00 GMT 2020","Sun Oct 11 14:41:00 GMT 2020","332","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:41:01 GMT 2020","Sun Oct 11 14:41:01 GMT 2020","474","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:41:02 GMT 2020","Sun Oct 11 14:41:03 GMT 2020","823","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:41:04 GMT 2020","Sun Oct 11 14:41:04 GMT 2020","524","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:41:01 GMT 2020","Sun Oct 11 14:41:02 GMT 2020","433","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:41:02 GMT 2020","Sun Oct 11 14:41:02 GMT 2020","584","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:41:00 GMT 2020","Sun Oct 11 14:41:00 GMT 2020","359","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:40:50 GMT 2020","Sun Oct 11 14:40:59 GMT 2020","8865","","","","","","Accessing trade page about CRO/USDC",""
