"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:14:48 GMT 2020","Sun Oct 11 14:14:49 GMT 2020","707","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:14:37 GMT 2020","Sun Oct 11 14:14:46 GMT 2020","8950","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:14:47 GMT 2020","Sun Oct 11 14:14:48 GMT 2020","525","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:14:47 GMT 2020","Sun Oct 11 14:14:47 GMT 2020","394","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:14:46 GMT 2020","Sun Oct 11 14:14:47 GMT 2020","617","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:14:49 GMT 2020","Sun Oct 11 14:14:50 GMT 2020","940","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:14:50 GMT 2020","Sun Oct 11 14:14:51 GMT 2020","495","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:14:49 GMT 2020","Sun Oct 11 14:14:49 GMT 2020","392","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:14:51 GMT 2020","Sun Oct 11 14:14:51 GMT 2020","714","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:14:51 GMT 2020","Sun Oct 11 14:14:52 GMT 2020","504","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:14:48 GMT 2020","Sun Oct 11 14:14:48 GMT 2020","460","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:14:52 GMT 2020","Sun Oct 11 14:14:53 GMT 2020","704","","","","","","Testing the 9-day forecast API",""
