"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 17:39:13 GMT 2020","Sun Oct 11 17:39:14 GMT 2020","412","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 17:39:14 GMT 2020","Sun Oct 11 17:39:14 GMT 2020","434","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 17:39:12 GMT 2020","Sun Oct 11 17:39:12 GMT 2020","328","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 17:39:13 GMT 2020","Sun Oct 11 17:39:13 GMT 2020","597","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 17:39:02 GMT 2020","Sun Oct 11 17:39:10 GMT 2020","7985","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 17:39:14 GMT 2020","Sun Oct 11 17:39:15 GMT 2020","975","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 17:39:11 GMT 2020","Sun Oct 11 17:39:12 GMT 2020","461","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 17:39:12 GMT 2020","Sun Oct 11 17:39:13 GMT 2020","528","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 17:39:11 GMT 2020","Sun Oct 11 17:39:11 GMT 2020","401","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 17:39:10 GMT 2020","Sun Oct 11 17:39:11 GMT 2020","413","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"failed","Sun Oct 11 17:39:11 GMT 2020","Sun Oct 11 17:39:11 GMT 2020","423","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 17:39:10 GMT 2020","Sun Oct 11 17:39:10 GMT 2020","432","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
