"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:12:11 GMT 2020","Sun Oct 11 14:12:12 GMT 2020","542","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:12:00 GMT 2020","Sun Oct 11 14:12:08 GMT 2020","7371","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:12:09 GMT 2020","Sun Oct 11 14:12:09 GMT 2020","286","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:12:12 GMT 2020","Sun Oct 11 14:12:13 GMT 2020","886","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:12:09 GMT 2020","Sun Oct 11 14:12:10 GMT 2020","405","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:12:09 GMT 2020","Sun Oct 11 14:12:09 GMT 2020","368","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:12:08 GMT 2020","Sun Oct 11 14:12:08 GMT 2020","427","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:12:10 GMT 2020","Sun Oct 11 14:12:10 GMT 2020","395","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:12:11 GMT 2020","Sun Oct 11 14:12:11 GMT 2020","635","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:12:10 GMT 2020","Sun Oct 11 14:12:11 GMT 2020","422","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:12:08 GMT 2020","Sun Oct 11 14:12:09 GMT 2020","410","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:12:10 GMT 2020","Sun Oct 11 14:12:10 GMT 2020","395","","","","","","Calculating total in trade form -- @1.3 ",""
