"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:29:40 GMT 2020","Sun Oct 11 14:29:41 GMT 2020","381","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:29:42 GMT 2020","Sun Oct 11 14:29:43 GMT 2020","951","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:29:41 GMT 2020","Sun Oct 11 14:29:41 GMT 2020","615","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:29:39 GMT 2020","Sun Oct 11 14:29:40 GMT 2020","390","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:29:38 GMT 2020","Sun Oct 11 14:29:38 GMT 2020","399","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:29:39 GMT 2020","Sun Oct 11 14:29:39 GMT 2020","421","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:29:38 GMT 2020","Sun Oct 11 14:29:38 GMT 2020","500","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:29:40 GMT 2020","Sun Oct 11 14:29:40 GMT 2020","466","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:29:41 GMT 2020","Sun Oct 11 14:29:42 GMT 2020","471","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:29:31 GMT 2020","Sun Oct 11 14:29:38 GMT 2020","6756","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:29:38 GMT 2020","Sun Oct 11 14:29:39 GMT 2020","347","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:29:40 GMT 2020","Sun Oct 11 14:29:40 GMT 2020","323","","","","","","Calculating total in trade form -- @1.2 ",""
