"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:26:45 GMT 2020","Sun Oct 11 14:26:46 GMT 2020","313","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:26:48 GMT 2020","Sun Oct 11 14:26:48 GMT 2020","487","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:26:44 GMT 2020","Sun Oct 11 14:26:45 GMT 2020","518","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:26:49 GMT 2020","Sun Oct 11 14:26:50 GMT 2020","961","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:26:46 GMT 2020","Sun Oct 11 14:26:47 GMT 2020","423","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:26:46 GMT 2020","Sun Oct 11 14:26:46 GMT 2020","370","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:26:37 GMT 2020","Sun Oct 11 14:26:44 GMT 2020","7648","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:26:46 GMT 2020","Sun Oct 11 14:26:46 GMT 2020","355","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 14:26:45 GMT 2020","Sun Oct 11 14:26:45 GMT 2020","385","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:26:47 GMT 2020","Sun Oct 11 14:26:47 GMT 2020","479","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:26:45 GMT 2020","Sun Oct 11 14:26:45 GMT 2020","322","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:26:47 GMT 2020","Sun Oct 11 14:26:48 GMT 2020","568","","","","","","Calculating total in trade form -- @1.5 ",""
