"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 14:17:30 GMT 2020","Sun Oct 11 14:17:40 GMT 2020","9327","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:17:41 GMT 2020","Sun Oct 11 14:17:42 GMT 2020","417","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:17:42 GMT 2020","Sun Oct 11 14:17:42 GMT 2020","560","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:17:44 GMT 2020","Sun Oct 11 14:17:45 GMT 2020","942","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:17:41 GMT 2020","Sun Oct 11 14:17:41 GMT 2020","291","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:17:43 GMT 2020","Sun Oct 11 14:17:44 GMT 2020","348","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:17:40 GMT 2020","Sun Oct 11 14:17:40 GMT 2020","425","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:17:40 GMT 2020","Sun Oct 11 14:17:40 GMT 2020","415","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:17:43 GMT 2020","Sun Oct 11 14:17:43 GMT 2020","440","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:17:42 GMT 2020","Sun Oct 11 14:17:43 GMT 2020","416","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:17:40 GMT 2020","Sun Oct 11 14:17:41 GMT 2020","347","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:17:42 GMT 2020","Sun Oct 11 14:17:42 GMT 2020","338","","","","","","Calculating total in trade form -- @1.2 ",""
