"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 11 17:41:15 GMT 2020","Sun Oct 11 17:41:16 GMT 2020","948","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 17:41:11 GMT 2020","Sun Oct 11 17:41:11 GMT 2020","525","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 17:41:12 GMT 2020","Sun Oct 11 17:41:12 GMT 2020","398","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 17:41:12 GMT 2020","Sun Oct 11 17:41:13 GMT 2020","463","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 17:41:03 GMT 2020","Sun Oct 11 17:41:11 GMT 2020","7293","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 17:41:14 GMT 2020","Sun Oct 11 17:41:15 GMT 2020","391","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 17:41:14 GMT 2020","Sun Oct 11 17:41:14 GMT 2020","457","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 17:41:13 GMT 2020","Sun Oct 11 17:41:13 GMT 2020","393","","","","","","Calculating total in trade form -- @1.2 ",""
"passed","Sun Oct 11 17:41:11 GMT 2020","Sun Oct 11 17:41:12 GMT 2020","316","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 17:41:13 GMT 2020","Sun Oct 11 17:41:13 GMT 2020","391","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 17:41:13 GMT 2020","Sun Oct 11 17:41:14 GMT 2020","378","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 17:41:11 GMT 2020","Sun Oct 11 17:41:11 GMT 2020","411","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
